,predictionType,utilDif,reward,negativeReward,numOfUpdates,lostUtil,wrongDecisions,correctDecisions,decisionShouldHaveDid,decisionShouldHaveDidNot,decisionNotHaveDid,decisionNotHaveDidNot
58,lstm_predictions_server_1_tactic_1_sampleRate_0.csv,1181348.5061707478,20925713.299003523,3001.9210401038363,1481,46831.61907458759,96,2507,1473,88,8,1034
59,lstm_predictions_server_1_tactic_1_sampleRate_20.csv,77934.07802406291,1598177.45433604,0.0,129,0.0,0,129,129,0,0,0
60,lstm_predictions_server_1_tactic_1_sampleRate_0_no_ping.csv,755843.4293907458,20909717.0842429,1722.4479614932918,1512,24099.21583039179,65,2538,1493,46,19,1045
61,lstm_predictions_server_1_tactic_1_sampleRate_10.csv,73991.75432615768,1551663.1082691485,0.0,259,0.0,0,259,259,0,0,0
62,lstm_predictions_server_3_tactic_1_sampleRate_10.csv,477972.99349851033,1754030.552455881,0.0,259,0.0,0,259,259,0,0,0
63,lstm_predictions_server_3_tactic_1_sampleRate_5.csv,434513.6253742026,1625346.1754813339,0.0,519,0.0,0,519,519,0,0,0
64,lstm_predictions_server_3_tactic_1_sampleRate_0.csv,3212312.920526156,16819595.374256775,31772.345150006895,1502,111349.1383483094,245,2358,1429,172,73,929
65,lstm_predictions_server_3_tactic_1_sampleRate_20.csv,498628.0972210184,1811930.406292604,0.0,129,0.0,0,129,129,0,0,0
66,lstm_predictions_server_3_tactic_1_sampleRate_0_no_ping.csv,3428634.6894529085,16793907.921773463,25924.15907681354,1566,69224.58128642822,214,2389,1459,107,107,930
67,lstm_predictions_server_2_tactic_1_sampleRate_10.csv,248476.04705790567,2261088.0188262276,0.0,259,0.0,0,259,259,0,0,0
68,lstm_predictions_server_2_tactic_1_sampleRate_20.csv,225539.8748093087,2319644.0231500785,0.0,129,0.0,0,129,129,0,0,0
69,lstm_predictions_server_2_tactic_1_sampleRate_0.csv,3649054.7039176,24688605.475334626,6549.484980092475,1645,69340.78475076589,134,2469,1637,126,8,832
70,lstm_predictions_server_2_tactic_1_sampleRate_5.csv,390346.1611795337,2134680.975837396,0.0,519,0.0,0,519,519,0,0,0
71,lstm_predictions_server_2_tactic_1_sampleRate_0_no_ping.csv,3508583.5448350953,24657809.681399215,5006.602348721295,1698,42765.32878785171,114,2489,1662,78,36,827
72,ernn_predictions_server__server_1_tactic_1_test_weekdayOneHotsample_rate_0_predictions_noping.csv,3246312.646270138,20900629.757294495,23568.789389338144,1541,63778.468151686844,204,2399,1425,88,116,974
73,ernn_predictions_server__server_1_tactic_1_test_weekdayOneHotsample_rate_5_predictions.csv,2238625.557882726,1432421.3373578289,0.0,518,0.0,0,519,518,0,0,1
74,ernn_predictions_server__server_1_tactic_1_test_weekdayOneHotsample_rate_10_predictions.csv,2543483.6732427287,1552991.8195113065,22210.860975646283,257,23210.860975646283,2,257,257,2,0,0
75,ernn_predictions_server__server_1_tactic_1_test_weekdayOneHotsample_rate_5_predictions_noping.csv,221179.27628814286,1432421.3373578289,0.0,518,0.0,0,519,518,0,0,1
76,ernn_predictions_server__server_1_tactic_1_test_weekdayOneHotsample_rate_20_predictions_noping.csv,156237.1149180057,1598551.9410954555,11693.054828477807,128,12193.054828477807,1,128,128,1,0,0
77,ernn_predictions_server__server_1_tactic_1_test_weekdayOneHotsample_rate_0_predictions.csv,1897494.6786212656,20933950.26259254,2710.4380431073614,1467,50570.40704502197,97,2506,1466,96,1,1040
78,ernn_predictions_server__server_1_tactic_1_test_weekdayOneHotsample_rate_20_predictions.csv,490788.14816893474,1598177.9207809034,0.0,129,0.0,0,129,129,0,0,0
79,ernn_predictions_server__server_1_tactic_1_test_weekdayOneHotsample_rate_10_predictions_noping.csv,21964747.931980994,1552936.2603992417,9990.103063134218,257,10990.103063134218,2,257,257,2,0,0
80,ernn_predictions_server__server_3_tactic_1_test_weekdayOneHotsample_rate_20_predictions_noping.csv,614844.3141749692,1812784.0142660555,11238.434963055417,128,11738.434963055417,1,128,128,1,0,0
81,ernn_predictions_server__server_3_tactic_1_test_weekdayOneHotsample_rate_0_predictions.csv,3573007.7210056223,16788576.1697434,24336.242487218744,1655,15971.500775012233,207,2396,1478,30,177,918
82,ernn_predictions_server__server_3_tactic_1_test_weekdayOneHotsample_rate_10_predictions.csv,593540.7299842247,1754030.617343671,0.0,259,0.0,0,259,259,0,0,0
83,ernn_predictions_server__server_3_tactic_1_test_weekdayOneHotsample_rate_10_predictions_noping.csv,473543.5225147223,1754030.617343671,0.0,259,0.0,0,259,259,0,0,0
84,ernn_predictions_server__server_3_tactic_1_test_weekdayOneHotsample_rate_20_predictions.csv,610852.7391902751,1811930.4220283427,0.0,129,0.0,0,129,129,0,0,0
85,ernn_predictions_server__server_3_tactic_1_test_weekdayOneHotsample_rate_0_predictions_noping.csv,9305894.354669753,16764573.770435385,67912.94394689702,1751,60736.57986174494,436,2167,1397,82,354,770
86,ernn_predictions_server__server_3_tactic_1_test_weekdayOneHotsample_rate_5_predictions_noping.csv,373697.19357962254,1625346.2591624705,0.0,519,0.0,0,519,519,0,0,0
87,ernn_predictions_server__server_3_tactic_1_test_weekdayOneHotsample_rate_5_predictions.csv,1168551.2435036665,1625346.2591624702,0.0,519,0.0,0,519,519,0,0,0
88,ernn_predictions_server__server_2_tactic_1_test_weekdayOneHotsample_rate_0_predictions_noping.csv,2449277.5992279635,24700170.11909387,39402.771595214756,1628,110787.23154356825,151,2452,1620,143,8,832
89,ernn_predictions_server__server_2_tactic_1_test_weekdayOneHotsample_rate_5_predictions_noping.csv,554299.2618523922,2134680.821858873,0.0,519,0.0,0,519,519,0,0,0
90,ernn_predictions_server__server_2_tactic_1_test_weekdayOneHotsample_rate_10_predictions.csv,1649264.8845028994,2263194.1782883243,5081.66828844503,258,5581.66828844503,1,258,258,1,0,0
91,ernn_predictions_server__server_2_tactic_1_test_weekdayOneHotsample_rate_0_predictions.csv,6922487.703326214,24741155.379786246,23167.462215203905,1544,159667.4622152039,273,2330,1544,273,0,786
92,ernn_predictions_server__server_2_tactic_1_test_weekdayOneHotsample_rate_5_predictions.csv,3271350.9278374123,2134680.821858873,0.0,519,0.0,0,519,519,0,0,0
93,ernn_predictions_server__server_2_tactic_1_test_weekdayOneHotsample_rate_20_predictions.csv,4767605.588222934,2317510.5921286996,16104.326659819708,128,16604.326659819708,1,128,128,1,0,0
94,ernn_predictions_server__server_2_tactic_1_test_weekdayOneHotsample_rate_10_predictions_noping.csv,793343.572352573,2261087.813839487,0.0,259,0.0,0,259,259,0,0,0
95,ernn_predictions_server__server_2_tactic_1_test_weekdayOneHotsample_rate_20_predictions_noping.csv,703735.2521106454,2324450.861804116,14071.77281491746,128,14571.77281491746,1,128,128,1,0,0
